1,218,Regal Cinemas,8
2,269,Studio Movie Grill,8
3,34,General Cinemas,8
4,257,Studio Movie Grill,7
5,211,AMC,5
6,301,Regal Cinemas,7
7,242,Studio Movie Grill,10
8,310,General Cinemas,6
9,69,Harkins,7
10,282,AMC,10
11,216,AMC,7
12,189,IMAX Corporation,5
13,5,Harkins,6
14,90,IMAX Corporation,5
15,296,AMC,8
16,46,Regal Cinemas,5
17,73,AMC,9
18,69,Regal Cinemas,5
19,141,Harkins,7
20,306,Harkins,6
21,38,AMC,5
22,134,General Cinemas,6
23,288,Regal Cinemas,8
24,219,IMAX Corporation,5
25,107,Regal Cinemas,9
26,107,Regal Cinemas,7
27,118,Studio Movie Grill,6
28,44,General Cinemas,5
29,18,General Cinemas,5
30,80,AMC,7
31,213,Regal Cinemas,8
32,18,Studio Movie Grill,5
33,252,Regal Cinemas,9
34,23,AMC,6
35,260,General Cinemas,5
36,202,IMAX Corporation,9
37,250,Studio Movie Grill,10
38,209,AMC,9
39,76,IMAX Corporation,8
40,215,General Cinemas,6
41,149,General Cinemas,5
42,107,IMAX Corporation,6
43,216,IMAX Corporation,7
44,304,Harkins,10
45,266,General Cinemas,9
46,82,Harkins,6
47,248,AMC,6
48,21,AMC,7
49,9,IMAX Corporation,8
50,113,IMAX Corporation,9
51,211,Regal Cinemas,5
52,25,General Cinemas,9
53,132,Regal Cinemas,9
54,198,General Cinemas,8
55,242,Regal Cinemas,10
56,130,Regal Cinemas,8
57,102,Studio Movie Grill,5
58,170,AMC,5
59,288,AMC,5
60,100,Studio Movie Grill,6
61,34,AMC,5
62,69,Harkins,5
63,21,Harkins,5
64,54,General Cinemas,8
65,59,AMC,6
66,178,Studio Movie Grill,7
67,284,AMC,9
68,90,General Cinemas,9
69,288,Harkins,9
70,107,AMC,10
71,56,IMAX Corporation,8
72,171,General Cinemas,8
73,204,IMAX Corporation,8
74,85,AMC,9
75,306,AMC,10
76,54,Regal Cinemas,10
77,277,AMC,10
78,154,Studio Movie Grill,6
79,55,Studio Movie Grill,9
80,94,Studio Movie Grill,9
81,134,Studio Movie Grill,10
82,162,Harkins,6
83,203,General Cinemas,8
84,20,General Cinemas,5
85,203,IMAX Corporation,9
86,22,IMAX Corporation,10
87,285,AMC,7
88,227,General Cinemas,8
89,50,Studio Movie Grill,8
90,16,AMC,8
91,193,General Cinemas,6
92,82,Studio Movie Grill,6
93,276,AMC,7
94,139,Harkins,10
95,26,Studio Movie Grill,7
96,84,Harkins,10
97,183,Studio Movie Grill,5
98,31,General Cinemas,5
99,87,IMAX Corporation,8
100,145,Studio Movie Grill,6
101,130,AMC,9
102,64,General Cinemas,6
103,279,General Cinemas,6
104,121,Harkins,5
105,271,General Cinemas,10
106,34,Regal Cinemas,5
107,99,Studio Movie Grill,10
108,310,General Cinemas,7
109,274,Regal Cinemas,10
110,17,AMC,8
111,95,IMAX Corporation,10
112,54,General Cinemas,8
113,153,Studio Movie Grill,9
114,260,Harkins,10
115,184,Regal Cinemas,7
116,233,IMAX Corporation,10
117,304,Regal Cinemas,10
118,34,Regal Cinemas,7
119,236,AMC,9
120,94,Harkins,5
121,114,Harkins,7
122,226,Studio Movie Grill,5
123,281,IMAX Corporation,10
124,234,IMAX Corporation,9
125,272,Harkins,7
126,92,IMAX Corporation,9
127,263,Regal Cinemas,7
128,64,AMC,10
129,228,Harkins,5
130,271,IMAX Corporation,8
131,177,Regal Cinemas,10
132,73,Studio Movie Grill,5
133,52,IMAX Corporation,10
134,46,Harkins,5
135,157,General Cinemas,10
136,284,General Cinemas,5
137,149,AMC,5
138,45,Regal Cinemas,9
139,206,Studio Movie Grill,9
140,82,AMC,7
141,107,IMAX Corporation,9
142,297,General Cinemas,9
143,91,Regal Cinemas,5
144,167,General Cinemas,6
145,201,Harkins,7
146,254,Regal Cinemas,5
147,126,Studio Movie Grill,8
148,103,Regal Cinemas,5
149,157,General Cinemas,5
150,171,IMAX Corporation,10
151,42,AMC,5
152,12,Studio Movie Grill,7
153,29,Studio Movie Grill,6
154,162,Harkins,5
155,37,General Cinemas,6
156,153,IMAX Corporation,9
157,42,IMAX Corporation,6
158,296,Studio Movie Grill,5
159,4,Regal Cinemas,9
160,89,Regal Cinemas,5
161,172,General Cinemas,9
162,208,Studio Movie Grill,7
163,236,IMAX Corporation,8
164,121,Regal Cinemas,8
165,67,AMC,10
166,249,Harkins,6
167,270,Harkins,8
168,260,Harkins,10
169,178,AMC,10
170,309,AMC,9
171,105,AMC,9
172,86,Regal Cinemas,6
173,270,Harkins,9
174,120,General Cinemas,10
175,261,IMAX Corporation,9
176,206,AMC,6
177,98,General Cinemas,6
178,87,AMC,7
179,244,Regal Cinemas,7
180,114,Regal Cinemas,5
181,257,IMAX Corporation,6
182,93,Harkins,8
183,180,Harkins,6
184,152,Studio Movie Grill,7
185,289,AMC,6
186,74,General Cinemas,8
187,46,IMAX Corporation,5
188,202,General Cinemas,6
189,229,Regal Cinemas,9
190,137,Harkins,5
191,179,Studio Movie Grill,5
192,210,Regal Cinemas,7
193,264,AMC,10
194,245,Regal Cinemas,10
195,235,General Cinemas,10
196,151,Studio Movie Grill,6
197,13,General Cinemas,8
198,248,Harkins,7
199,28,Regal Cinemas,6
200,168,AMC,8
201,88,Studio Movie Grill,8
202,118,Regal Cinemas,8
203,175,Studio Movie Grill,6
204,209,Harkins,10
205,303,Studio Movie Grill,8
206,223,Harkins,10
207,154,General Cinemas,5
208,267,IMAX Corporation,6
209,33,Harkins,8
210,15,Studio Movie Grill,7
211,32,General Cinemas,5
212,296,IMAX Corporation,9
213,294,General Cinemas,9
214,304,General Cinemas,5
215,270,Harkins,5
216,115,General Cinemas,10
217,188,IMAX Corporation,9
218,165,General Cinemas,7
219,147,IMAX Corporation,7
220,62,Harkins,10
221,93,AMC,5
222,171,AMC,8
223,247,IMAX Corporation,5
224,113,Regal Cinemas,6
225,25,General Cinemas,9
226,164,Studio Movie Grill,5
227,203,Regal Cinemas,10
228,18,Studio Movie Grill,6
229,217,Regal Cinemas,7
230,291,Harkins,6
231,111,Studio Movie Grill,6
232,154,Harkins,7
233,95,IMAX Corporation,10
234,86,IMAX Corporation,5
235,61,Regal Cinemas,8
236,88,Studio Movie Grill,9
237,92,AMC,10
238,29,IMAX Corporation,10
239,289,General Cinemas,7
240,69,Regal Cinemas,5
241,101,Regal Cinemas,8
242,59,Harkins,7
243,134,Harkins,8
244,143,Studio Movie Grill,9
245,15,IMAX Corporation,7
246,214,Harkins,7
247,221,Harkins,8
248,282,Studio Movie Grill,6
249,231,Harkins,5
250,119,Regal Cinemas,6
251,150,General Cinemas,10
252,2,Harkins,10
253,10,General Cinemas,6
254,61,Studio Movie Grill,8
255,274,Regal Cinemas,9
256,63,Studio Movie Grill,8
257,12,Regal Cinemas,10
258,160,General Cinemas,8
259,38,AMC,8
260,94,Studio Movie Grill,5
261,28,Studio Movie Grill,10
262,129,Regal Cinemas,8
263,84,General Cinemas,8
264,60,Regal Cinemas,7
265,260,Regal Cinemas,10
266,64,General Cinemas,7
267,210,Regal Cinemas,7
