1,New York,NY,47310
2,Los Angeles,CA,87978
3,Chicago,IL,42368
4,Houston,TX,66789
5,Phoenix,AZ,15877
6,Philadelphia,PA,44877
7,San Antonio,TX,39445
8,San Diego,CA,76652
9,Dallas,TX,27643
10,San Jose,CA,93379
11,Austin,TX,26599
12,Jacksonville,FL,61508
13,Fort Worth,TX,63791
14,Columbus,OH,3719
15,Charlotte,NC,54798
16,San Francisco,CA,84694
17,Indianapolis,IN,96877
18,Seattle,WA,49806
19,Denver,CO,57530
20,Washington,DC,62755
21,Boston,MA,18542
22,El Paso,TX,83390
23,Nashville,TE,13178
24,Detroit,MI,38730
25,Oklahoma City,OK,59546
26,Portland,OR,76317
27,Las Vegas,NV,16210
28,Memphis,TE,68904
29,Louisville,KT,22194
30,Baltimore,MD,47825
31,Milwaukee,WI,94285
32,Albuquerque,NM,94230
33,Tucson,AZ,26911
34,Fresno,CA,63465
35,Mesa,AZ,46114
36,Sacramento,CA,87394
37,Atlanta,GA,93659
38,Kansas City,MO,18573
39,Colorado Springs,CO,83162
40,Omaha,NE,99639
41,Raleigh,NC,34132
42,Miami,FL,51352
43,Long Beach,CA,25369
44,Virginia Beach,VA,19042
45,Oakland,CA,1123
46,Minneapolis,MN,72409
47,Tulsa,OK,71028
48,Tampa,FL,13490
49,Arlington,TX,3451
50,New Orleans[n],LO,96849
51,Wichita,KS,83793
52,Bakersfield,CA,63904
53,Cleveland,OH,86629
54,Aurora,CO,23420
55,Anaheim,CA,39078
56,Honolulu[b],HI,753
57,Santa Ana,CA,72159
58,Riverside,CA,70768
59,Corpus Christi,TX,68598
60,Lexington,KT,63605
61,Henderson,NV,74297
62,Stockton,CA,376
63,Saint Paul,MN,75334
64,Cincinnati,OH,29039
65,St. Louis,MO,8195
66,Pittsburgh,PA,7485
67,Greensboro,NC,25515
68,Lincoln,NE,79106
69,Anchorage,AK,50995
70,Plano,TX,11988
71,Orlando,FL,55452
72,Irvine,CA,6161
73,Newark,NJ,9942
74,Durham,NC,87689
75,Chula Vista,CA,49801
76,Toledo,OH,52550
77,Fort Wayne,IN,72085
78,St. Petersburg,FL,48368
79,Laredo,TX,19001
80,Jersey City,NJ,72569
81,Chandler,AZ,21877
82,Madison,WI,83798
83,Lubbock,TX,61178
84,Scottsdale,AZ,23893
85,Reno,NV,96709
86,Buffalo,NY,90975
87,Gilbert,AZ,44331
88,Glendale,AZ,52279
89,North Las Vegas,NV,53018
90,Winston-Salem,NC,55045
91,Chesapeake,VA,40491
92,Norfolk,VA,35381
93,Fremont,CA,11866
94,Garland,TX,32790
95,Irving,TX,57235
96,Hialeah,FL,56690
97,Richmond,VA,33258
98,Boise,ID,29597
99,Spokane,WA,33544
100,Baton Rouge,LO,79018
101,Tacoma,WA,12219
